treatment,specimen,uM,Temperature,Na2S03
D,d3_30_31_5_2.czi,9462.893,28,0
D,d1 30_31_5_2.czi,9465.132,28,0
F,f4_29_5_2.czi,9475.293,28,56
A,a3_30_31_5_2.czi,9478.928,20,0
A,a3_2_6_1.czi,9517.029,20,0
D,d4_30_31_5_3.czi,9523.013,28,0
Culture,ecotox 31_5_2.czi,9526.075,23,0
F,f4_29_5_8.czi,9538.028,28,56
F,f4_29_5_5.czi,9593.35,28,56
D,d4_29_5_6.czi,9596.815,28,0
D,d4_29_5.czi,9607.864,28,0
B,b3 30_31_5_1.czi,9609.704,20,32
D,d4_2_6_1.czi,9637.738,28,0
B,b1_2_6_2.czi,9679.58,20,32
A,a4_2_6.czi,9710.015,20,0
A,a3_2_6_2.czi,9774.091,20,0
Culture,ecotox 31_5_4.czi,9779.302,23,0
B,b4_30_31_5_1.czi,9812.161,20,32
B,b3 29_5.czi,9844.603,20,32
C,c1 30-31_5.czi,9880.546,20,56
B,b2_30_31_5_1.czi,9889.496,20,32
C,c1_2_6_2.czi,9895.452,20,56
B,b4_30_31_5_2.czi,9955.411,20,32
B,b4_29_5_2.czi,9955.88,20,32
A,a4_30_31_5_3.czi,9983.713,20,0
D,d3_26_5_2.czi,10007.778,28,0
B,b2_2_6_2.czi,10026.291,20,32
D,d4 26_5_1.czi,10037.146,28,0
B,b2_2_6.czi,10095.335,20,32
B,b4_29_5_1.czi,10096.255,20,32
B,b2_30_31_5_2.czi,10190.703,20,32
B,b2_2_6_3.czi,10258.831,20,32
D,d3_30_31_5_1.czi,10347.946,28,0
F,f3_2_6.czi,10613.987,28,56
